Question_ID,Question,Link,Level,Accept_Rate
511, 游戏玩法分析 I,https://leetcode-cn.com/problems/game-play-analysis-i,简单,0.728
512, 游戏玩法分析 II,https://leetcode-cn.com/problems/game-play-analysis-ii,简单,0.54
534, 游戏玩法分析 III,https://leetcode-cn.com/problems/game-play-analysis-iii,中等,0.68
550, 游戏玩法分析 IV,https://leetcode-cn.com/problems/game-play-analysis-iv,中等,0.436
569, 员工薪水中位数,https://leetcode-cn.com/problems/median-employee-salary,困难,0.564
570, 至少有5名直接下属的经理,https://leetcode-cn.com/problems/managers-with-at-least-5-direct-reports,中等,0.655
571, 给定数字的频率查询中位数,https://leetcode-cn.com/problems/find-median-given-frequency-of-numbers,困难,0.47200000000000003
574, 当选者,https://leetcode-cn.com/problems/winning-candidate,中等,0.6579999999999999
577, 员工奖金,https://leetcode-cn.com/problems/employee-bonus,简单,0.6940000000000001
578, 查询回答率最高的问题,https://leetcode-cn.com/problems/get-highest-answer-rate-question,中等,0.48
579, 查询员工的累计薪水,https://leetcode-cn.com/problems/find-cumulative-salary-of-an-employee,困难,0.42
580, 统计各专业学生人数,https://leetcode-cn.com/problems/count-student-number-in-departments,中等,0.524
584, 寻找用户推荐人,https://leetcode-cn.com/problems/find-customer-referee,简单,0.728
585, 2016年的投资,https://leetcode-cn.com/problems/investments-in-2016,中等,0.534
586, 订单最多的客户,https://leetcode-cn.com/problems/customer-placing-the-largest-number-of-orders,简单,0.7340000000000001
597, 好友申请 I：总体通过率,https://leetcode-cn.com/problems/friend-requests-i-overall-acceptance-rate,简单,0.442
602, 好友申请 II ：谁有最多的好友,https://leetcode-cn.com/problems/friend-requests-ii-who-has-the-most-friends,中等,0.606
603, 连续空余座位,https://leetcode-cn.com/problems/consecutive-available-seats,简单,0.655
607, 销售员,https://leetcode-cn.com/problems/sales-person,简单,0.675
608, 树节点,https://leetcode-cn.com/problems/tree-node,中等,0.634
610, 判断三角形,https://leetcode-cn.com/problems/triangle-judgement,简单,0.653
612, 平面上的最近距离,https://leetcode-cn.com/problems/shortest-distance-in-a-plane,中等,0.659
613, 直线上的最近距离,https://leetcode-cn.com/problems/shortest-distance-in-a-line,简单,0.81
614, 二级关注者,https://leetcode-cn.com/problems/second-degree-follower,中等,0.361
615, 平均工资：部门与公司比较,https://leetcode-cn.com/problems/average-salary-departments-vs-company,困难,0.42200000000000004
618, 学生地理信息报告,https://leetcode-cn.com/problems/students-report-by-geography,困难,0.619
619, 只出现一次的最大数字,https://leetcode-cn.com/problems/biggest-single-number,简单,0.46
1045, 买下所有产品的客户,https://leetcode-cn.com/problems/customers-who-bought-all-products,中等,0.639
1050, 合作过至少三次的演员和导演,https://leetcode-cn.com/problems/actors-and-directors-who-cooperated-at-least-three-times,简单,0.769
1068, 产品销售分析 I,https://leetcode-cn.com/problems/product-sales-analysis-i,简单,0.866
1069, 产品销售分析 II,https://leetcode-cn.com/problems/product-sales-analysis-ii,简单,0.8170000000000001
1070, 产品销售分析 III,https://leetcode-cn.com/problems/product-sales-analysis-iii,中等,0.47600000000000003
1075, 项目员工 I,https://leetcode-cn.com/problems/project-employees-i,简单,0.696
1076, 项目员工II,https://leetcode-cn.com/problems/project-employees-ii,简单,0.49200000000000005
1077, 项目员工 III,https://leetcode-cn.com/problems/project-employees-iii,中等,0.723
1082, 销售分析 I,https://leetcode-cn.com/problems/sales-analysis-i,简单,0.762
1083, 销售分析 II,https://leetcode-cn.com/problems/sales-analysis-ii,简单,0.528
1084, 销售分析III,https://leetcode-cn.com/problems/sales-analysis-iii,简单,0.5479999999999999
1097, 游戏玩法分析 V,https://leetcode-cn.com/problems/game-play-analysis-v,困难,0.522
1098, 小众书籍,https://leetcode-cn.com/problems/unpopular-books,中等,0.47600000000000003
1107, 每日新用户统计,https://leetcode-cn.com/problems/new-users-daily-count,中等,0.41200000000000003
1112, 每位学生的最高成绩,https://leetcode-cn.com/problems/highest-grade-for-each-student,中等,0.652
1113, 报告的记录,https://leetcode-cn.com/problems/reported-posts,简单,0.534
1126, 查询活跃业务,https://leetcode-cn.com/problems/active-businesses,中等,0.684
1127, 用户购买平台,https://leetcode-cn.com/problems/user-purchase-platform,困难,0.428
1132, 报告的记录 II,https://leetcode-cn.com/problems/reported-posts-ii,中等,0.389
1141, 查询近30天活跃用户数,https://leetcode-cn.com/problems/user-activity-for-the-past-30-days-i,简单,0.514
1142, 过去30天的用户活动 II,https://leetcode-cn.com/problems/user-activity-for-the-past-30-days-ii,简单,0.373
1148, 文章浏览 I,https://leetcode-cn.com/problems/article-views-i,简单,0.715
1149, 文章浏览 II,https://leetcode-cn.com/problems/article-views-ii,中等,0.444
1159, 市场分析 II,https://leetcode-cn.com/problems/market-analysis-ii,困难,0.499
1164, 指定日期的产品价格,https://leetcode-cn.com/problems/product-price-at-a-given-date,中等,0.6
1173, 即时食物配送 I,https://leetcode-cn.com/problems/immediate-food-delivery-i,简单,0.752
1174, 即时食物配送 II,https://leetcode-cn.com/problems/immediate-food-delivery-ii,中等,0.627
1193, 每月交易 I,https://leetcode-cn.com/problems/monthly-transactions-i,中等,0.605
1194, 锦标赛优胜者,https://leetcode-cn.com/problems/tournament-winners,困难,0.513
1204, 最后一个能进入电梯的人,https://leetcode-cn.com/problems/last-person-to-fit-in-the-bus,中等,0.732
1205, 每月交易II,https://leetcode-cn.com/problems/monthly-transactions-ii,中等,0.46399999999999997
1211, 查询结果的质量和占比,https://leetcode-cn.com/problems/queries-quality-and-percentage,简单,0.662
1212, 查询球队积分,https://leetcode-cn.com/problems/team-scores-in-football-tournament,中等,0.514
1225, 报告系统状态的连续日期,https://leetcode-cn.com/problems/report-contiguous-dates,困难,0.539
1241, 每个帖子的评论数,https://leetcode-cn.com/problems/number-of-comments-per-post,简单,0.593
1251, 平均售价,https://leetcode-cn.com/problems/average-selling-price,简单,0.7709999999999999
1264, 页面推荐,https://leetcode-cn.com/problems/page-recommendations,中等,0.5670000000000001
1270, 向公司CEO汇报工作的所有人,https://leetcode-cn.com/problems/all-people-report-to-the-given-manager,中等,0.8059999999999999
1280, 学生们参加各科测试的次数,https://leetcode-cn.com/problems/students-and-examinations,简单,0.498
1285, 找到连续区间的开始和结束数字,https://leetcode-cn.com/problems/find-the-start-and-end-number-of-continuous-ranges,中等,0.813
1294, 不同国家的天气类型,https://leetcode-cn.com/problems/weather-type-in-each-country,简单,0.653
1303, 求团队人数,https://leetcode-cn.com/problems/find-the-team-size,简单,0.823
1308, 不同性别每日分数总计,https://leetcode-cn.com/problems/running-total-for-different-genders,中等,0.7509999999999999
